count,track_name
54,Shape of You
23,Despacito - Remix
21,Despacito (Featuring Daddy Yankee)
20,Something Just Like This
16,Me Rehúso
13,Unforgettable
11,Escápate Conmigo
9,HUMBLE.
7,It Ain't Me (with Selena Gomez)
7,Thunder
7,Felices los 4
7,More Than You Know
6,Believer
5,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"
4,rockstar
3,Attention
3,Castle on the Hill
3,Say You Won't Let Go
2,Otra Vez (feat. J Balvin)
2,Una Lady Como Tú
2,XO TOUR Llif3
2,Symphony (feat. Zara Larsson)
2,Perfect
2,Stay (with Alessia Cara)
2,Ahora Dice
2,Closer
2,El Amante
