name,artist,artist_stream_sum,artist_rank
Argentina,Ozuna,127332340,1
Argentina,J Balvin,121898980,2
Argentina,Maluma,96805780,3
Australia,Ed Sheeran,212595604,1
Australia,Post Malone,97562268,2
Australia,The Chainsmokers,79504212,3
Austria,Ed Sheeran,16538357,1
Austria,The Chainsmokers,8915653,2
Austria,Imagine Dragons,7460942,3
Belgium,Ed Sheeran,32065407,1
Belgium,The Chainsmokers,14949160,2
Belgium,Lil' Kleine,13560879,3
"Bolivia, Plurinational State of",J Balvin,5044220,1
"Bolivia, Plurinational State of",Maluma,3558959,2
"Bolivia, Plurinational State of",Piso 21,3300087,3
Brazil,Matheus & Kauan,270885717,1
Brazil,Henrique & Juliano,245081969,2
Brazil,Alok,236422659,3
Canada,Drake,176379134,1
Canada,Ed Sheeran,143206012,2
Canada,Kendrick Lamar,99998927,3
Chile,J Balvin,106552491,1
Chile,Ozuna,96540229,2
Chile,Maluma,73839874,3
Colombia,J Balvin,39256541,1
Colombia,Ozuna,34057536,2
Colombia,Ed Sheeran,27701415,3
Costa Rica,Ed Sheeran,19778368,1
Costa Rica,J Balvin,14383778,2
Costa Rica,Ozuna,13519750,3
Czech Republic,Ed Sheeran,13307281,1
Czech Republic,Imagine Dragons,8240091,2
Czech Republic,The Chainsmokers,6660328,3
Denmark,Ed Sheeran,92382453,1
Denmark,Gilli,47586678,2
Denmark,Gulddreng,35330345,3
Dominican Republic,Ozuna,11533253,1
Dominican Republic,Bad Bunny,7658436,2
Dominican Republic,J Balvin,6447849,3
Ecuador,J Balvin,13476790,1
Ecuador,Ed Sheeran,10429103,2
Ecuador,Maluma,9541950,3
El Salvador,J Balvin,4313360,1
El Salvador,Ozuna,3450008,2
El Salvador,Ed Sheeran,2884038,3
Estonia,Ed Sheeran,1852209,1
Estonia,The Chainsmokers,926564,2
Estonia,Imagine Dragons,694367,3
Finland,JVG,50105992,1
Finland,Antti Tuisku,35956315,2
Finland,Ed Sheeran,35467253,3
France,Damso,164955291,1
France,Niska,160599909,2
France,Ninho,109624026,3
Germany,Ed Sheeran,255224321,1
Germany,Bonez MC,144011568,2
Germany,The Chainsmokers,119759863,3
Greece,Ed Sheeran,3250545,1
Greece,Post Malone,1766840,2
Greece,Luis Fonsi,1552108,3
Guatemala,J Balvin,8217518,1
Guatemala,Ozuna,7693040,2
Guatemala,Ed Sheeran,5086705,3
Honduras,J Balvin,4944232,1
Honduras,Ozuna,4113705,2
Honduras,Ed Sheeran,3561823,3
Hong Kong,Ed Sheeran,15411403,1
Hong Kong,The Chainsmokers,12452942,2
Hong Kong,Dear Jane,6977916,3
Hungary,Ed Sheeran,8202139,1
Hungary,Imagine Dragons,5227443,2
Hungary,The Chainsmokers,4577756,3
Iceland,JóiPé,4852028,1
Iceland,Aron Can,4486350,2
Iceland,Ed Sheeran,3572294,3
Indonesia,Ed Sheeran,66090119,1
Indonesia,The Chainsmokers,49229648,2
Indonesia,Payung Teduh,32406884,3
Ireland,Ed Sheeran,59859554,1
Ireland,Drake,15697526,2
Ireland,The Chainsmokers,14797769,3
Italy,Ed Sheeran,103902064,1
Italy,Ghali,97198885,2
Italy,J-AX,64631262,3
Japan,Ed Sheeran,16462724,1
Japan,Shota Shimizu,12020288,2
